"country","region","last_obs_year","last_obs_mcpr","prob_ever_reach_40","projected_year_reach_40_p50","projected_year_reach_40","projected_year_reach_40_p05","projected_year_reach_40_p95","projected_years_from_latest_to_40","required_growth_to_40_10y","model_dpdt_2025_mean","model_dpdt_2025_p05","model_dpdt_2025_p95","model_dpdt_lastobs_mean","model_dpdt_lastobs_p05","model_dpdt_lastobs_p95","latest_obs_interval_growth","mean_obs_interval_growth","max_obs_interval_growth","min_obs_interval_growth","n_intervals","investment_phase","leverage","K_mean","t0_year_mean","years_since_t0_2026","dpdt_mean_2026","s_curve_stage","last_obs_rel_sat_mean","years_since_t0_lastobs_mean","target40_status","required_growth_pp_per_year","latest_obs_interval_growth_pp_per_year","max_obs_interval_growth_pp_per_year","model_dpdt_2025_pp_per_year","model_dpdt_lastobs_pp_per_year","model_dpdt_2026_pp_per_year"
"Guinea","West Africa",2018,0.114285827113167,0,NA,NA,NA,NA,NA,0.0285714172886833,0.00294346982250239,0.00213972157627743,0.00392645207480551,0.0034293826591702,0.00270011200631772,0.00423982574801532,0.00731850809831205,0.00363289975141163,0.00731850809831205,0.000296674044628542,3,"Build / monitor",0.387877211238293,0.184470081546821,2014,12.4751764717464,0.00285051550504473,"Stage 2: diffusion",0.624446374651421,4.47517647174648,"Not projected to cross",2.85714172886833,0.731850809831205,0.731850809831205,0.294346982250239,0.34293826591702,0.285051550504473
"Nigeria","West Africa",2024,0.13104165101535,0,NA,NA,NA,NA,NA,0.026895834898465,0.00115480784156804,0.00101091944231043,0.00130529148744153,0.00122386757944973,0.00107370330720207,0.00138043654547789,0.00431898191134883,0.00229416847711053,0.00431898191134883,-0.0012726000592774,5,"Build / monitor",0.163683662851197,0.144556741424995,1999,27.2179391384043,0.00108830490070893,"Stage 3: plateau",0.90675495162832,25.2179391384042,"Not projected to cross",2.6895834898465,0.431898191134883,0.431898191134883,0.115480784156804,0.122386757944973,0.108830490070893
"Senegal","West Africa",2023,0.174527653745172,0,NA,NA,NA,NA,NA,0.0225472346254828,0.0061822400465798,0.00559614958654548,0.00678357454031696,0.00637503885189226,0.00582276085430269,0.00693716998976236,-0.00112460417094599,0.00600060576428707,0.023032215353686,-0.00675990237311,12,"Scale-up",0.668574401664932,0.341045309340814,2019,7.31041422008661,0.00606253996243052,"Stage 2: diffusion",0.512365232013002,4.31041422008652,"Not projected to cross",2.25472346254828,-0.112460417094599,2.3032215353686,0.61822400465798,0.637503885189226,0.606253996243052
"Congo","Central Africa",2011,0.222894903296517,0.0296666666666667,2031.82810978969,2033.30217649468,2023.97642517345,2050.57774214128,22.3021764946759,0.0177105096703483,0.00295430286680212,0.00198919848163446,0.00424421171632309,0.0138821153102802,0.0112047002021791,0.0167423895375627,0.0146407981276373,0.0146407981276373,0.0146407981276373,0.0146407981276373,1,"Build / monitor",0.203433922996878,0.353148396450119,2008,18.2198029830467,0.00253537243697577,"Stage 2: diffusion",0.633829957593096,3.21980298304678,"Projected to cross by 2035",1.77105096703483,1.46407981276373,1.46407981276373,0.295430286680212,1.38821153102802,0.253537243697577
"Cameroon","Central Africa",2018,0.163836351658967,0,NA,NA,NA,NA,NA,0.0236163648341033,0.000285012984519797,0.000242230961034994,0.000331353260853328,0.000893828874637833,0.000763899343151783,0.00103314379321441,0.000334740957875002,0.00470373145329825,0.00994127419341189,0.000334740957875002,4,"Maintain / equity",0.0243496357960458,0.175409351680846,1998,28.3171582825371,0.000241297918279754,"Stage 3: plateau",0.934238263812806,20.3171582825372,"Not projected to cross",2.36163648341033,0.0334740957875002,0.994127419341189,0.0285012984519797,0.0893828874637833,0.0241297918279754
"Chad","Central Africa",2014,0.0484411769242257,0,NA,NA,NA,NA,NA,0.0351558823075774,0.000585027788093538,0.000370681155293248,0.00089303899010967,0.00220529463731607,0.00162190335903903,0.00289583336790012,0.00333385537315759,0.00186747089263162,0.00333385537315759,0.000401086412105643,2,"Build / monitor",0.0713839750260146,0.0658100619693086,2008,17.8584209150363,0.000502722827876659,"Stage 2: diffusion",0.739850749660359,5.85842091503618,"Not projected to cross",3.51558823075774,0.333385537315759,0.333385537315759,0.0585027788093538,0.220529463731607,0.0502722827876659
"Congo Democratic Republic","Central Africa",2023,0.0989393506970059,0,NA,NA,NA,NA,NA,0.0301060649302994,0.000444691414475815,0.000332947388939876,0.000568975775512697,0.000610840346635541,0.000459841449252636,0.000777738192148736,0.00177281174401292,0.00210847530009272,0.00244413885617252,0.00177281174401292,2,"Maintain / equity",0.0437044745057232,0.101508904745192,2004,22.2985827869829,0.00037851714538018,"Stage 3: plateau",0.975094831125115,19.2985827869828,"Not projected to cross",3.01060649302994,0.177281174401292,0.244413885617252,0.0444691414475815,0.0610840346635541,0.037851714538018
"Gabon","Central Africa",2019,0.171286150617783,0,NA,NA,NA,NA,NA,0.0228713849382217,6.29124966803575e-06,1.62885443346885e-06,2.68855124221019e-05,1.73725931762364e-05,4.50386833872549e-06,7.41490366211936e-05,-0.00974809149770986,-0.00974809149770986,-0.00974809149770986,-0.00974809149770986,1,"Maintain / equity",0,0.202786477284566,1972,53.9383274115453,5.31086156414032e-06,"Stage 3: plateau",0.844844741936716,46.9383274115454,"Not projected to cross",2.28713849382217,-0.974809149770986,-0.974809149770986,0.000629124966803575,0.00173725931762364,0.000531086156414032
"Rwanda","East/Southern Africa",2019,0.351298453354893,1,2021.70576164001,2021.71966581984,2021.08924761396,2022.42150622146,2.719665819837,0.0048701546645107,0.0113485197353903,0.010314637385584,0.0124424101634272,0.0169263541537545,0.0157829180048824,0.0181062357466194,0.018418731036531,0.0169650575937735,0.0448214132086965,-0.00648905683885355,6,"Scale-up",0.593132154006244,0.543600151978824,2014,11.7156361190866,0.0103743082936092,"Stage 2: diffusion",0.646569476805256,4.71563611908661,"Projected to cross by 2035",0.48701546645107,1.8418731036531,4.48214132086965,1.13485197353903,1.69263541537545,1.03743082936092
"Ethiopia","East/Southern Africa",2019,0.280777731318228,1,2030.7729419963,2031.09683184471,2028.08485581676,2035.83551160667,12.096831844706,0.0119222268681772,0.00905038410413696,0.00808151526547891,0.0101138643247723,0.0135981935303759,0.0125271133612239,0.0147422216652662,0.010715296324032,0.0120160319305042,0.0150356694038053,0.00998295561959984,4,"Scale-up",0.556503642039542,0.440127833324103,2014,11.8917952615211,0.0082658199036239,"Stage 2: diffusion",0.638401727164673,4.89179526152109,"Projected to cross by 2035",1.19222268681772,1.0715296324032,1.50356694038053,0.905038410413696,1.35981935303759,0.82658199036239
