"country","region","last_obs_year","last_obs_mcpr","prob_ever_reach_40","projected_year_reach_40_p50","projected_year_reach_40","projected_year_reach_40_p05","projected_year_reach_40_p95","projected_years_from_latest_to_40","required_growth_to_40_10y","model_dpdt_2025_mean","model_dpdt_2025_p05","model_dpdt_2025_p95","model_dpdt_lastobs_mean","model_dpdt_lastobs_p05","model_dpdt_lastobs_p95","latest_obs_interval_growth","mean_obs_interval_growth","max_obs_interval_growth","min_obs_interval_growth","n_intervals","investment_phase","leverage","K_mean","t0_year_mean","years_since_t0_2026","dpdt_mean_2026","s_curve_stage","last_obs_rel_sat_mean","years_since_t0_lastobs_mean","target40_status","required_growth_pp_per_year","latest_obs_interval_growth_pp_per_year","max_obs_interval_growth_pp_per_year","model_dpdt_2025_pp_per_year","model_dpdt_lastobs_pp_per_year","model_dpdt_2026_pp_per_year","p2025_mean","p2025_p05","p2025_p95","prob_reach_40_by_2035","p2026_mean","K_p05","K_p95","s_curve_stage_2026","women_15_49","weight_share_ssa","target_gap_pp","target_gap_p2025_pp","target_gap_p2026_pp","projected_reach_40_by_2036","crossing_label","required_growth_from_lastobs_pp_per_year","required_growth_from_p2025_pp_per_year","required_growth_from_p2026_pp_per_year","growth_gap_vs_latest_obs_pp","growth_gap_vs_model_pp","women_15_49_millions","contribution_2026_pp","contribution_2035_pp","delta_contribution_pp","marginal_lift_if40_pp","marginal_lift_if40_p05","marginal_lift_if40_p95","expected_goal_contribution_pp","corr_with_regional_2035"
"Cote d'Ivoire","West Africa",2021,0.190186155243145,0,NA,NA,NA,NA,NA,0.0209813844756855,0.00376767560247101,0.0032144914947362,0.00438074689955533,0.00433998624148625,0.00377749255615224,0.00495138107647598,0.00566797879257944,0.00631429431720999,0.0103499627389293,0.00292494142012121,3,"Build / monitor",0.422372528616025,0.269058087099917,2010,16.0581408688286,0.00361653990256557,"Stage 2: diffusion",0.707811836763035,11.0581408688287,"Not projected to cross",2.09813844756855,0.566797879257944,1.03499627389293,0.376767560247101,0.433998624148625,0.361653990256557,0.204494193621038,0.196978128332207,0.212242327148224,0,0.208186434601377,0.250608924206134,0.289416399072344,"Stage 2: diffusion",7534743,0.0267454778483256,20.9813844756855,19.5505806378962,19.1813565398624,FALSE,"Not projected",2.09813844756855,1.95505806378962,1.91813565398624,1.53134056831061,1.66413982341993,7.534743,4.20531805662054,4.7541185511054,0.548800494484852,-0.192424495312937,-0.417963186465316,0.0246233274622916,0,0.807436730873427
"Kenya","East/Southern Africa",2022,0.419868867938313,1,2022,2022,2022,2022,0,0,0.00093662308753971,0.000875253656262234,0.00099997019862646,0.00139407184157761,0.00130403760833037,0.00148679100056384,0.003566606207968,0.00863292291446321,0.0186227028491478,-0.0017648051211888,6,"Build / monitor",0.0771071800208117,0.412878530000999,1996,30.4862692729657,0.000819203128783491,"Stage 3: plateau",1.01696272234972,26.4862692729658,"Already crossed",0,0.3566606207968,1.86227028491478,0.093662308753971,0.139407184157761,0.0819203128783491,0.405989449664059,0.401758094748371,0.410171915763793,1,0.40686609539319,0.408327177466437,0.417408400775168,"Stage 3: plateau",14493524,0.0514465092022615,-1.9868867938313,-0.598944966405912,-0.686609539318989,TRUE,"Already crossed (2022)",0,0,0,-0.3566606207968,-0.139407184157761,14.493524,0.703037471291197,1.00289149345075,0.299854022159558,-0.209813852506783,-0.24916626588238,-0.161931291543494,-0.209813852506783,0.138521285242022
"Burundi","East/Southern Africa",2016,0.14574983802506,0,NA,NA,NA,NA,NA,0.025425016197494,0.00217597949756155,0.00153473901558847,0.00295970549545705,0.00505971751149724,0.00392587853794176,0.00629903277612879,0.0059531142541805,0.00514530997685977,0.0059531142541805,0.00433750569953904,2,"Build / monitor",0.204474505723205,0.194933208869999,2008,17.9560837934275,0.00193991888047529,"Stage 2: diffusion",0.749397819410559,7.95608379342764,"Not projected to cross",2.5425016197494,0.59531142541805,0.59531142541805,0.217597949756155,0.505971751149724,0.193991888047529,0.177632813074092,0.165915400229808,0.1911852424114,0,0.179689009231154,0.178123611673075,0.215132088777068,"Stage 3: plateau",3219890,0.0114293873950372,25.425016197494,22.2367186925908,22.0310990768846,FALSE,"Not projected",2.5425016197494,2.22367186925908,2.20310990768846,1.94719019433135,2.03652986859968,3.21989,0.442102453741482,0.650905538742611,0.208803085001129,0.156873920186685,0.11258511706253,0.228891720060713,0,0.223330468077698
"Comoros","East/Southern Africa",2012,0.0985179320706266,0,NA,NA,NA,NA,NA,0.0301482067929373,7.18246357400405e-05,1.21730265536337e-05,0.000143333580103147,0.00040808937263351,7.27553674965742e-05,0.000786422840989168,0.00130081337736498,0.00130081337736498,0.00130081337736498,0.00130081337736498,1,"Maintain / equity",0.00936524453694069,0.101012418535914,1986,40.0517361539066,6.26483904470857e-05,"Stage 3: plateau",0.977899199451259,26.0517361539067,"Not projected to cross",3.01482067929373,0.130081337736498,0.130081337736498,0.00718246357400406,0.040808937263351,0.00626483904470857,0.10048976200758,0.0909476232441009,0.110472794091889,0,0.100556895238676,0.0911235309636631,0.111556231723772,"Stage 3: plateau",209366,0.000743169835413435,30.1482067929373,29.951023799242,29.9443104761324,FALSE,"Not projected",3.01482067929373,2.9951023799242,2.99443104761324,2.88473934155724,2.97401174203038,0.209366,2.47844439437012,2.62258950477715,0.144145110407033,5.08381397608573,5.01691508442669,5.14969709816209,0,0.244251637161364
"Angola","East/Southern Africa",2023,0.139111969545999,0,NA,NA,NA,NA,NA,0.0260888030454001,0.000800344459456145,0.000246958468737626,0.00137316146346378,0.00102515499525715,0.000322933368616216,0.00173461604111159,0.00180701400605037,0.00180701400605037,0.00180701400605037,0.00180701400605037,1,"Build / monitor",0.0724245577523413,0.146503510560834,2002,24.3915812762166,0.000705334349007741,"Stage 3: plateau",0.95084972052081,21.3915812762167,"Not projected to cross",2.60888030454001,0.180701400605037,0.180701400605037,0.0800344459456145,0.102515499525715,0.0705334349007741,0.140435545839914,0.13373770243926,0.147204152477988,0,0.141187482497121,0.135955536956422,0.157334152651608,"Stage 3: plateau",8482273,0.0301088497145756,26.0888030454001,25.9564454160086,25.8812517502879,FALSE,"Not projected",2.60888030454001,2.59564454160086,2.58812517502879,2.42817890393497,2.5063648050143,8.482273,0.379479621273639,0.485913266377741,0.106433645104102,0.273411033694521,0.245034903737589,0.300427483159059,0,0.0781242518444109
"Tanzania","East/Southern Africa",2022,0.25425034401086,0,NA,NA,NA,NA,NA,0.014574965598914,0.00109904413534283,0.00100616937250774,0.00119803870796771,0.00161561893640513,0.00148224360118266,0.0017576054175269,-0.00242275722052728,0.00768732445298465,0.0146193458454103,-0.00242275722052728,6,"Build / monitor",0.0946930280957336,0.283327700066551,2000,26.428341284035,0.000964311874629547,"Stage 3: plateau",0.897475191236571,22.4283412840351,"Not projected to cross",1.4574965598914,-0.242275722052728,1.46193458454103,0.109904413534283,0.161561893640513,0.0964311874629547,0.275142173231849,0.269725286951718,0.280596189831145,0,0.276172469700924,0.277337651906011,0.289411501452715,"Stage 3: plateau",16123372,0.0572318509956229,14.574965598914,12.4857826768151,12.3827530299076,FALSE,"Not projected",1.4574965598914,1.24857826768151,1.23827530299076,1.69977228194413,1.29593466625089,16.123372,0.265873057006919,0.371767831919933,0.105894774913014,-0.0688454943604059,-0.0945128333472805,-0.0374891175781989,0,0.122451335712929
"Chad","Central Africa",2014,0.0484411769242257,0,NA,NA,NA,NA,NA,0.0351558823075774,0.000585027788093538,0.000370681155293248,0.00089303899010967,0.00220529463731607,0.00162190335903903,0.00289583336790012,0.00333385537315759,0.00186747089263162,0.00333385537315759,0.000401086412105643,2,"Build / monitor",0.0713839750260146,0.0658100619693086,2008,17.8584209150363,0.000502722827876659,"Stage 2: diffusion",0.739850749660359,5.85842091503618,"Not projected to cross",3.51558823075774,0.333385537315759,0.333385537315759,0.0585027788093538,0.220529463731607,0.0502722827876659,0.0621496992733724,0.0550896725185697,0.0703617980455951,0,0.0626926645048721,0.0574568009622605,0.0759503640706428,"Stage 3: plateau",4362604,0.0154855883794599,35.1558823075774,33.7850300726628,33.7307335495128,FALSE,"Not projected",3.51558823075774,3.37850300726628,3.37307335495128,3.18220269344198,3.29505876702614,4.362604,0.585723499816914,0.663900917205608,0.0781774173886937,-0.147475298815314,-0.174304925277681,-0.122073819354416,0,0.108335484223199
"Mozambique","East/Southern Africa",2022,0.250311161307126,0,NA,NA,NA,NA,NA,0.0149688838692874,0.000901081072685193,0.000788722151482696,0.00102187976169334,0.00132422133239476,0.00116297607794973,0.00149724506347608,0.0117732958764442,0.00898011020084621,0.0270803701212213,-0.0119133353951269,3,"Build / monitor",0.082414151925078,0.230421677315708,2000,26.3744501624578,0.000790676669639767,"Stage 3: plateau",1.08658056483233,22.3744501624578,"Not projected to cross",1.49688838692874,1.17732958764442,2.70803701212213,0.0901081072685193,0.132422133239476,0.0790676669639767,0.223708537149492,0.217450500520235,0.230149594783982,0,0.224553285355685,0.223471042526791,0.237579417180642,"Stage 3: plateau",8108243,0.0287811851771641,14.9688838692874,17.6291462850508,17.5446714644315,FALSE,"Not projected",1.49688838692874,1.76291462850508,1.75446714644315,0.319558799284322,1.36446625368926,8.108243,0.34770787829711,0.424822389786634,0.0771145114895239,0.21606797201805,0.197606007377719,0.233796746115159,0,0.0672753495047108
"Ethiopia","East/Southern Africa",2019,0.280777731318228,1,2030.7729419963,2031.09683184471,2028.08485581676,2035.83551160667,12.096831844706,0.0119222268681772,0.00905038410413696,0.00808151526547891,0.0101138643247723,0.0135981935303759,0.0125271133612239,0.0147422216652662,0.010715296324032,0.0120160319305042,0.0150356694038053,0.00998295561959984,4,"Scale-up",0.556503642039542,0.440127833324103,2014,11.8917952615211,0.0082658199036239,"Stage 2: diffusion",0.638401727164673,4.89179526152109,"Projected to cross by 2035",1.19222268681772,1.0715296324032,1.50356694038053,0.905038410413696,1.35981935303759,0.82658199036239,0.360094458845448,0.347496971007227,0.372799176239535,0.956833333333333,0.368750556717464,0.418104587778147,0.463331945542605,"Stage 3: plateau",32128041,0.114042351394811,11.9222268681772,3.99055411545516,3.12494432825355,TRUE,"By 2035 (~2031)",1.19222268681772,0.399055411545516,0.312494432825355,0.120693054414522,-0.167596666219867,32.128041,0.744306779860186,0.816068576745463,0.0717617968852762,0.407441435550032,0.375340173367839,0.437822371949333,0.389853546915456,0.133029189234069
"Lesotho","East/Southern Africa",2023,0.532158420005745,1,2023,2023,2023,2023,0,0,0.00461978200548523,0.00419299898212088,0.00508797493954171,0.00586325065211516,0.00533623351528179,0.0064368747984019,0.00520700740349433,0.015671134054484,0.027310736836579,0.00520700740349433,3,"Build / monitor",0.311342351716962,0.588740302673502,2005,20.8574868472383,0.00408682288066791,"Stage 3: plateau",0.90403760028599,17.8574868472382,"Already crossed",0,0.520700740349433,2.7310736836579,0.461978200548523,0.586325065211516,0.408682288066791,0.553176332949136,0.541681580991678,0.564816295361863,1,0.557524933521979,0.574208200320305,0.603699280662652,"Stage 3: plateau",638077,0.00226493116872414,-13.2158420005745,-15.3176332949136,-15.7524933521979,TRUE,"Already crossed (2023)",0,0,0,-0.520700740349433,-0.586325065211516,0.638077,0.5568045674953,0.627669549866294,0.0708649823709943,0.442149564066729,0.408018806015848,0.4741059397195,0.442149564066729,0.130386025737547
