"X","country","survey_id","year","n_rows","n_women","mCPR","mCPR_pct","se_mCPR","se_mCPR_pct","year_first","t_rel","y","n","year_center","p_hat","y_hat","pearson_resid","p_hat_clipped","logit_mCPR"
26,"Bolivia","BO2003DHS",2003,17654,17654.0002540005,0.236900110333478,23.6900110333478,0.00410500349224333,0.410500349224333,1989,14,4182,17654,3,NA,NA,NA,0.236900110333478,-1.16975036280646
27,"Bolivia","BO2008DHS",2008,16939,16939.0000620006,0.239682537052928,23.9682537052928,0.00399012576852318,0.399012576852319,1989,19,4060,16939,8,NA,NA,NA,0.239682537052928,-1.15442077502579
28,"Brazil","BR1986DHS",1986,5892,5892.09180000027,0.372995856921289,37.2995856921289,0.00667294389041542,0.667294389041542,1986,0,2198,5892,-14,NA,NA,NA,0.372995856921289,-0.519385836259628
29,"Brazil","BR1991DHS",1991,6223,6223.003282,0.356976301527202,35.6976301527202,0.00785750802373179,0.785750802373179,1986,5,2221,6223,-9,NA,NA,NA,0.356976301527202,-0.588512182359731
30,"Brazil","BR1996DHS",1996,12612,12611.9987500008,0.51012992044576,51.012992044576,0.00496306916199211,0.496306916199211,1986,10,6434,12612,-4,NA,NA,NA,0.51012992044576,0.0405252270672123
31,"Burkina Faso","BF1993DHS",1993,6354,6354.00139499959,0.0402622432852042,4.02622432852042,0.00271458591153408,0.271458591153408,1993,0,256,6354,-7,NA,NA,NA,0.0402622432852042,-3.17124593844561
32,"Burkina Faso","BF1999DHS",1999,6445,6444.99919000077,0.0583039868465759,5.83039868465759,0.00300510031294355,0.300510031294355,1993,6,376,6445,-1,NA,NA,NA,0.0583039868465759,-2.78201204280079
33,"Burkina Faso","BF2003DHS",2003,12477,12476.9999200002,0.0981869029297853,9.81869029297853,0.00320482744510748,0.320482744510748,1993,10,1225,12477,3,NA,NA,NA,0.0981869029297853,-2.2175344540567
34,"Burkina Faso","BF2010DHS",2010,17087,17086.9995889995,0.142598207269148,14.2598207269148,0.00294968204304259,0.294968204304259,1993,17,2437,17087,10,NA,NA,NA,0.142598207269148,-1.79387570889769
35,"Burkina Faso","BF2021DHS",2021,17659,17658.9999879997,0.279405982804968,27.9405982804968,0.00380633718966045,0.380633718966045,1993,28,4934,17659,21,NA,NA,NA,0.279405982804968,-0.947410036107656
