"X","country","survey_id","year","n_rows","n_women","mCPR","mCPR_pct","se_mCPR","se_mCPR_pct","year_first","t_rel","y","n","year_center","p_hat","y_hat","pearson_resid","p_hat_clipped","logit_mCPR","row_id","region","region_prior","s_region_fixed","prob_error","prev_year","prev_mcpr","obs_growth_annual","interval_mid_year"
45,"Cameroon","CM1998DHS",1998,5501,5500.99913399959,0.0801169229924177,8.01169229924177,0.00382214068313419,0.382214068313419,1991,7,441,5501,-2,0.0900277654615238,495.242737803843,-2.55516219467456,0.0900277654615238,-2.44075946668446,45,"Central Africa","CAF",5.89839714361468,-0.00991084246910615,1991,0.0420731451600278,0.00543482540462713,1994.5
46,"Cameroon","CM2004DHS",2004,10656,10656.01375,0.139764568152889,13.9764568152889,0.00356572878024628,0.356572878024628,1991,13,1489,10656,4,0.130578561066498,1391.44514672461,2.80479201469675,0.130578561066498,-1.81724675875669,46,"Central Africa","CAF",5.89839714361468,0.00918600708639067,1998,0.0801169229924177,0.00994127419341189,2001
47,"Cameroon","CM2011DHS",2011,15426,15425.9998540002,0.161493164953842,16.1493164953842,0.00333689731441952,0.333689731441952,1991,20,2491,15426,11,0.158760508730267,2449.0396076731,0.924446557774724,0.158760508730267,-1.64715991324616,47,"Central Africa","CAF",5.89839714361468,0.00273265622357502,2004,0.139764568152889,0.003104085257279,2007.5
48,"Cameroon","CM2018DHS",2018,13527,13615.6721289998,0.163836351658967,16.3836351658967,0.00375092052346647,0.375092052346647,1991,27,2231,13616,18,0.169967597422609,2314.27880650625,-1.90011169122533,0.169967597422609,-1.62995627163525,48,"Central Africa","CAF",5.89839714361468,-0.00613124576364238,2011,0.161493164953842,0.000334740957875002,2014.5
50,"Chad","TD2004DHS",2004,6085,6085.00012400006,0.0151026231926498,1.51026231926498,0.00200403166790787,0.200403166790787,1997,7,92,6085,4,0.0217152084272296,132.137043279692,-3.53020912648136,0.0217152084272296,-4.17766899966136,50,"Central Africa","CAF",5.89839714361468,-0.00661258523457979,1997,0.0122950183079103,0.000401086412105643,2000.5
51,"Chad","TD2014DHS",2014,17719,17718.9999810006,0.0484411769242257,4.84411769242257,0.00198176841735004,0.198176841735004,1997,17,858,17719,14,0.0477761013573097,846.544739950171,0.403469264299028,0.0477761013573097,-2.97775129131352,51,"Central Africa","CAF",5.89839714361468,0.000665075566915987,2004,0.0151026231926498,0.00333385537315759,2009
60,"Comoros","KM2012DHS",2012,5329,5328.99986799998,0.0985179320706266,9.85179320706266,0.00493126609658676,0.493126609658676,1996,16,525,5329,12,0.0979522894642553,521.987750555016,0.138818076675737,0.0979522894642553,-2.21380156798778,60,"East/Southern Africa","ESA",7.23239055102267,0.000565642606371333,1996,0.0777049180327869,0.00130081337736498,2004
62,"Congo","CG2011DHS",2011,10819,10819.0000189999,0.222894903296517,22.2894903296517,0.00611698465611123,0.611698465611123,2005,6,2411,10819,11,0.222629993951154,2408.63390455754,0.0546805622385795,0.222629993951154,-1.24887522610925,62,"Central Africa","CAF",5.89839714361468,0.000264909345363024,2005,0.135050114530693,0.0146407981276373,2008
64,"Congo Democratic Republic","CD2013DHS",2013,18827,18826.9998949995,0.0812112332568767,8.12112332568767,0.00273778565233261,0.273778565233261,2007,6,1529,18827,13,0.0840188922469814,1581.82368433392,-1.38773452750707,0.0840188922469814,-2.42600266653003,64,"Central Africa","CAF",5.89839714361468,-0.0028076589901047,2007,0.0665464001198416,0.00244413885617252,2010
65,"Congo Democratic Republic","CD2023DHS",2023,27583,27582.9996939992,0.0989393506970059,9.89393506970059,0.00275990217119136,0.275990217119136,2007,16,2729,27583,23,0.0977659380941903,2696.67787045205,0.655278353238528,0.0977659380941903,-2.20906552548016,65,"Central Africa","CAF",5.89839714361468,0.00117341260281562,2013,0.0812112332568767,0.00177281174401292,2018
67,"Cote d'Ivoire","CI1998DHS",1998,3040,3039.999681,0.0982251662282331,9.82251662282331,0.00619948716178268,0.619948716178268,1994,4,299,3040,-2,0.0766984923899849,233.163416865554,4.48709542323103,0.0766984923899849,-2.21710240117098,67,"West Africa","WAF",13.006980724418,0.0215266738382482,1994,0.0568253152725158,0.0103499627389293,1996
68,"Cote d'Ivoire","CI2012DHS",2012,10060,10059.9998859999,0.13917434610993,13.917434610993,0.00439435244985656,0.439435244985656,1994,18,1400,10060,12,0.144935922865587,1458.0553840278,-1.64420574412371,0.144935922865587,-1.82216455561643,68,"West Africa","WAF",13.006980724418,-0.00576157675565678,1998,0.0982251662282331,0.00292494142012121,2005
69,"Cote d'Ivoire","CI2021DHS",2021,14877,14876.9999340002,0.190186155243145,19.0186155243145,0.0043347821312947,0.43347821312947,1994,27,2829,14877,21,0.188255721245975,2800.68036497637,0.59394504075678,0.188255721245975,-1.4488010430235,69,"West Africa","WAF",13.006980724418,0.00193043399717002,2012,0.13917434610993,0.00566797879257944,2016.5
86,"Ethiopia","ET2005DHS",2005,14070,14069.9998420001,0.0967667940504013,9.67667940504013,0.0032823801748548,0.32823801748548,2000,5,1362,14070,5,0.09726136021911,1368.46733828288,-0.184004033751121,0.09726136021911,-2.23367687817739,86,"East/Southern Africa","ESA",7.23239055102267,-0.000494566168708743,2000,0.0468520159524021,0.00998295561959984,2002.5
87,"Ethiopia","ET2011DHS",2011,16515,16514.9998129998,0.186980810473233,18.6980810473233,0.0044806152988516,0.44806152988516,2000,11,3088,16515,11,0.173385560930816,2863.46253877243,4.61521100385142,0.173385560930816,-1.46974871882439,87,"East/Southern Africa","ESA",7.23239055102267,0.013595249542417,2005,0.0967667940504013,0.0150356694038053,2008
88,"Ethiopia","ET2016DHS",2016,15683,15683.0003760002,0.248631842346132,24.8631842346132,0.00515720293677402,0.515720293677402,2000,16,3899,15683,16,0.248528110034928,3897.66634967778,0.0246424154165668,0.248528110034928,-1.10592249734072,88,"East/Southern Africa","ESA",7.23239055102267,0.00010373231120353,2011,0.186980810473233,0.0123302063745798,2013.5
89,"Ethiopia","ET2019DHS",2019,8885,8884.99989399998,0.280777731318228,28.0777731318228,0.00751442574239527,0.751442574239527,2000,19,2495,8885,19,0.291609409883437,2590.94960681434,-2.23963540574421,0.291609409883437,-0.940607081221593,89,"East/Southern Africa","ESA",7.23239055102267,-0.0108316785652088,2016,0.248631842346132,0.010715296324032,2017.5
91,"Gabon","GA2019DHS",2019,9507,9909.65931499998,0.171286150617783,17.1286150617783,0.00625964490655898,0.625964490655898,2012,7,1697,9910,19,0.202683887039488,2008.59732056133,-7.78631563098512,0.202683887039488,-1.57653936653154,91,"Central Africa","CAF",5.89839714361468,-0.0313977364217052,2012,0.239522791101752,-0.00974809149770986,2015.5
93,"Gambia","GM2019DHS",2019,11865,11864.99995,0.122295761745874,12.2295761745874,0.00384335972784206,0.384335972784206,2013,6,1451,11865,19,0.112050341968684,1329.47730745843,3.53689972209276,0.112050341968684,-1.97086729088417,93,"West Africa","WAF",13.006980724418,0.0102454197771903,2013,0.0650776890190989,0.00953634545446252,2016
95,"Ghana","GH1993DHS",1993,4562,4562,0.0927224901359053,9.27224901359053,0.00429422677494725,0.429422677494725,1988,5,423,4562,-7,0.0798806658304584,364.415597518551,3.19934775082935,0.0798806658304584,-2.28083731270245,95,"West Africa","WAF",13.006980724418,0.0128418243054469,1988,0.0467914438502674,0.00918620925712758,1990.5
96,"Ghana","GH1998DHS",1998,4843,4842.99759100019,0.106571565296486,10.6571565296486,0.00463005200959589,0.463005200959589,1988,10,516,4843,-2,0.104103861054704,504.174999087929,0.556393051093671,0.104103861054704,-2.12624950183782,96,"West Africa","WAF",13.006980724418,0.00246770424178241,1993,0.0927224901359053,0.00276981503211614,1995.5
