"country","region","decision_year","p_2026_mean","stage_position_2026_mean","rel_sat_2026_mean","years_since_t0_2026_mean","growth_ratio_to_peak_2026_mean","prob_stage1_initial_2026","prob_stage2_diffusion_2026","prob_stage3_plateau_2026","s_curve_stage_2026"
"Kenya","East/Southern Africa",2026,0.40686609539319,4.21524101303614,0.985439371156714,30.4862692729658,0.0573936623103512,0,0,1,"Stage 3: plateau"
"Lesotho","East/Southern Africa",2026,0.557524933521979,2.88389941058824,0.947002328778823,20.8574868472382,0.200736589776064,0,0,1,"Stage 3: plateau"
"Madagascar","East/Southern Africa",2026,0.37056223178042,2.60911155232741,0.931414273250858,18.8701137376169,0.255508307415837,0,0,1,"Stage 3: plateau"
"Malawi","East/Southern Africa",2026,0.533585250390154,2.7528545664011,0.940060670073825,19.9097193543789,0.225379419074104,0,0,1,"Stage 3: plateau"
"Maldives","South Asia",2026,0.177910328643666,7.53109890500525,0.99944342516093,57.5869424077327,0.00222493612476962,0,0,1,"Stage 3: plateau"
"Morocco","Middle East and North Africa",2026,0.275058457215666,8.55783289316058,0.99980459358204,47.7981423974518,0.000781467751940243,0,0,1,"Stage 3: plateau"
"Mozambique","East/Southern Africa",2026,0.224553285355685,3.64671265695523,0.974548409606879,26.3744501624578,0.0992073694468533,0,0,1,"Stage 3: plateau"
"Namibia","East/Southern Africa",2026,0.537273913341357,4.32026746096187,0.986864604898514,31.2458615625513,0.0518499805435958,0,0,1,"Stage 3: plateau"
"Nepal","South Asia",2026,0.342470292605036,5.31013561504754,0.995062042341092,40.6042302322916,0.0196534679838267,0,0,1,"Stage 3: plateau"
"Nigeria","West Africa",2026,0.128643375630398,2.09256396354213,0.890013038109072,27.2179391384042,0.391393497584169,0,0,1,"Stage 3: plateau"
"Pakistan","South Asia",2026,0.264543610330049,3.8533096529157,0.979188418624687,29.4645341749714,0.0815065667517108,0,0,1,"Stage 3: plateau"
"Peru","Latin America and Carribbean",2026,0.423100253553137,1.95540836766501,0.875983069291441,32.064539180511,0.434486653738431,0,0,1,"Stage 3: plateau"
"Philippines","East Asia and Pacific",2026,0.261853926550561,1.8356997814545,0.862317883768935,35.0364421777324,0.474744279743958,0,0,1,"Stage 3: plateau"
"South Africa","East/Southern Africa",2026,0.491784596872812,8.01177245814928,0.999660461877207,57.9442674232625,0.0013576643946299,0,0,1,"Stage 3: plateau"
"Tanzania","East/Southern Africa",2026,0.276172469700924,3.65416401362591,0.974752883184215,26.4283412840351,0.0984352685888244,0,0,1,"Stage 3: plateau"
"Uganda","East/Southern Africa",2026,0.290411094254987,3.22732480575588,0.961811249992606,23.3412734302299,0.146909220832387,0,0,1,"Stage 3: plateau"
"Vietnam","East Asia and Pacific",2026,0.643839852754311,2.99889726637477,0.952097269696294,57.2374043576163,0.182230794108209,0,0,1,"Stage 3: plateau"
"Yemen","Middle East and North Africa",2026,0.294238191338307,4.83285085929078,0.992077230426732,26.9929661448104,0.031438590420791,0,0,1,"Stage 3: plateau"
"Zambia","East/Southern Africa",2026,0.382055993748573,3.18521782091329,0.960256164774517,23.0367392709223,0.152651072112884,0,0,1,"Stage 3: plateau"
"Zimbabwe","East/Southern Africa",2026,0.441923411482058,5.42065801940407,0.995588340948627,39.2043158398632,0.0175685401870924,0,0,1,"Stage 3: plateau"
"Rwanda","East/Southern Africa",2026,0.453675014529777,1.61988432959141,0.834698144660627,11.7156361190866,0.551774880937351,0,0.00183333333333333,0.998166666666667,"Stage 3: plateau"
"Ethiopia","East/Southern Africa",2026,0.368750556717464,1.64424130273767,0.837998004859909,11.8917952615211,0.542847218896984,0,0.002,0.998,"Stage 3: plateau"
"Honduras","Latin America and Carribbean",2026,0.529889545010909,1.69463452128394,0.843810757769076,27.7884026185491,0.525612414861203,0,0.089,0.911,"Stage 3: plateau"
"Ghana","West Africa",2026,0.243334920803386,1.54528710571174,0.824059574870417,20.0995195976843,0.579633025145163,0,0.223,0.777,"Stage 3: plateau"
