"country","region","latest_obs_year","latest_obs_mcpr","stage_position_lastobs_mean","last_obs_rel_sat_mean","last_obs_rel_sat_p05","last_obs_rel_sat_p95","years_since_t0_lastobs_mean","years_since_t0_lastobs_p05","years_since_t0_lastobs_p95","growth_ratio_to_peak_mean","growth_ratio_to_peak_p05","growth_ratio_to_peak_p95","prob_stage1_initial","prob_stage2_diffusion","prob_stage3_plateau","s_curve_stage"
"Kazakhstan","Europe and Central Asia",1999,0.386694510932913,0.149543168108076,0.560601729736459,0.412299492574918,0.69410989596443,7.47715840540379,-21.2306281657759,32.6350760668552,0.96726475742543,0.900625021202028,0.999953033586154,0,1,0,"Stage 2: diffusion"
"Kyrgyz Republic","Europe and Central Asia",2012,0.226603802561305,0.896161503903016,0.587667874777649,0.567597603100091,0.606466298696355,44.8080751951508,41.5777196517245,45.9577685436816,0.823270910358638,0.815323574616402,0.845262406915963,0,1,0,"Stage 2: diffusion"
"Liberia","West Africa",2019,0.253048793498329,0.564059983407923,0.668497438545599,0.592692050273278,0.744528637100596,7.33671733160238,4.23726188451085,10.3316145136697,0.921915974833747,0.857483670224521,0.973931067280305,0,1,0,"Stage 2: diffusion"
"Mali","West Africa",2023,0.180591149097891,0.0186564658991264,0.508051824654033,0.458656711263779,0.557978448455835,0.242664292335698,-1.77249621181657,2.2217611343529,0.99839865405197,0.99222609924254,0.999998626670313,0,1,0,"Stage 2: diffusion"
"Nicaragua","Latin America and Carribbean",2001,0.43943110151825,-0.0385507980350936,0.495955423393942,0.449689003784351,0.582654060635769,-0.632151112001372,-3.60712821455436,4.82591107158277,0.995020256855941,0.978655508019055,0.99999073818943,0,1,0,"Stage 2: diffusion"
"Peru","Latin America and Carribbean",2012,0.360555286853936,1.10163913077701,0.746562624827606,0.728997463874748,0.764730263616654,18.064539180511,16.9081370437205,19.2212098105621,0.748805462921654,0.722190281933865,0.775072670976033,0,1,0,"Stage 2: diffusion"
"Rwanda","East/Southern Africa",2019,0.351298453354893,0.652016243566909,0.646569476805256,0.618526998182465,0.674795300160962,4.71563611908661,4.11844294507012,5.31013031864323,0.900541819578074,0.876476481524,0.923121435494121,0,1,0,"Stage 2: diffusion"
"Senegal","West Africa",2023,0.174527653745172,0.331392373942293,0.512365232013002,0.478006302991238,0.547604308330833,4.31041422008652,2.77917874451326,5.88316154165798,0.972208845414119,0.950549051254678,0.98867275758618,0,1,0,"Stage 2: diffusion"
"Sierra Leone","West Africa",2019,0.239284596691412,-0.817824311142836,0.294127639865607,0.253534169109821,0.350156686882109,-10.6374250509953,-13.15773235288,-7.45377828941362,0.848145129730421,0.782226184577375,0.922193684639848,0,1,0,"Stage 2: diffusion"
"Tajikistan","Europe and Central Asia",2023,0.211965619115048,0.00292035298145424,0.513360280212914,0.449975055736674,0.672493197370039,0.146017649072712,-11.2902301077318,29.3228421910665,0.988890550928637,0.918715972622452,0.999987377659253,0,1,0,"Stage 2: diffusion"
