"country","decision_year","K_mean","K_p05","K_p95","t0_mean","t0_p05","t0_p95","s_mean","s_p05","s_p95","p_mean","p_p05","p_p95","head_mean","head_p05","head_p95","rel_mean","rel_p05","rel_p95","dpdt_mean","dpdt_p05","dpdt_p95","d2pdt2_mean","d2pdt2_p05","d2pdt2_p95","t0_year_mean","years_since_t0_2026","accel_status_2026","last_obs_year","last_obs_mcpr","head_lastobs_mean","rel_lastobs_mean","room_rel_lastobs","r_growth","r_head_lastobs","r_room_lastobs","leverage_head_lastobs","leverage_rel_lastobs","leverage_lastobs","phase_lastobs","phase_priority_lastobs"
"Rwanda",2026,0.543600151978824,0.520600029891327,0.567959772796269,14.2843638809134,13.6898696813568,14.8815570549299,7.23239055102267,7.23239055102267,7.23239055102267,0.453675014529777,0.439950419489894,0.468000235344887,0.0899251374490469,0.080367193591371,0.100282129641312,0.834698144660627,0.82307367285022,0.845806614578824,0.0103743082936092,0.00939871978132477,0.0114135649249548,-0.000959378338803797,-0.00102086866628593,-0.000898151670815878,2014,11.7156361190866,"Decelerating",2019,0.351298453354893,0.192301698623931,0.646244214752497,0.353755785247503,0.919354838709677,0.774193548387097,0.612903225806452,0.711758584807492,0.563475546305931,0.622788761706556,"Scale-up",1
"Senegal",2026,0.341045309340814,0.318711250380415,0.36511580041467,18.6895857799135,17.1168384583421,20.2208212554867,13.006980724418,13.006980724418,13.006980724418,0.217015514053292,0.211204759156995,0.222933503734191,0.124029795287522,0.10686924671513,0.142522889357276,0.63680615146001,0.609286399652916,0.664397543202662,0.00606253996243052,0.00546338292016807,0.00667890690695434,-0.000126863122613956,-0.000138371534920334,-0.000112043438632947,2019,7.31041422008661,"Decelerating",2023,0.174527653745172,0.166517655595642,0.511743304965859,0.488256695034141,0.806451612903226,0.709677419354839,0.806451612903226,0.572320499479709,0.650364203954214,0.619146722164412,"Scale-up",1
"Ethiopia",2026,0.440127833324103,0.418104587778147,0.463331945542605,14.1082047384789,13.4182605016283,14.8172192434893,7.23239055102267,7.23239055102267,7.23239055102267,0.368750556717464,0.355239625225129,0.38249445576334,0.0713772766066381,0.0625368828266786,0.0812900616190374,0.837998004859909,0.824365386830737,0.850641044911699,0.0082658199036239,0.00735476486339774,0.00927145612530814,-0.000771676705541964,-0.000831586565357485,-0.000713771019838025,2014,11.8917952615211,"Decelerating",2019,0.280777731318228,0.159350102005875,0.63794586494935,0.36205413505065,0.903225806451613,0.693548387096774,0.629032258064516,0.626430801248699,0.568158168574402,0.591467221644121,"Scale-up",1
"Honduras",2026,0.628752587579899,0.568428924918697,0.699823803973966,-1.78840261854915,-6.79332369859738,3.02287090002994,16.3978735647939,16.3978735647939,16.3978735647939,0.529889545010909,0.500283671700071,0.562386258368129,0.0988630425689905,0.0676939122486012,0.138108806882105,0.843810757769076,0.802378386421235,0.880781558531547,0.0050658341160201,0.00363413419346672,0.00675943433271528,-0.000210520754309175,-0.0002495850582693,-0.000168778504565125,1998,27.7884026185491,"Decelerating",2011,0.429215182049415,0.199537405530484,0.682645591490106,0.317354408509894,0.758064516129032,0.82258064516129,0.580645161290323,0.623569198751301,0.440166493236212,0.513527575442248,"Build / monitor",2
"Haiti",2026,0.363445849234777,0.335953640722796,0.394653264377234,6.80841615013551,3.97870011892122,9.61498771399148,16.3978735647939,16.3978735647939,16.3978735647939,0.277013512487999,0.265904274550931,0.288850714167994,0.0864323367467771,0.0696809950705904,0.106202508932812,0.762838005918937,0.73090434203423,0.792972402435726,0.00401169585761529,0.00336754105394327,0.00473053992927308,-0.00012792044203468,-0.000133622526475855,-0.000120159838433042,2007,19.1915838498644,"Decelerating",2016,0.222619542901631,0.140826306333146,0.612524653591035,0.387475346408965,0.693548387096774,0.645161290322581,0.709677419354839,0.4474505723205,0.492195629552549,0.474297606659729,"Build / monitor",2
"Liberia",2026,0.379816393168445,0.339877851452768,0.426948183039366,11.6632826683976,8.66838548633043,14.7627381154892,13.006980724418,13.006980724418,13.006980724418,0.284374438099574,0.268673057904931,0.301631412569023,0.0954419550688708,0.0712287959958094,0.126349122609852,0.75000428663032,0.703483351118666,0.791251484620173,0.00547884330499082,0.00432995280242065,0.00683562824927196,-0.000208392685151141,-0.000217693857172937,-0.00019314755020688,2012,14.3367173316024,"Decelerating",2019,0.253048793498329,0.126767599670116,0.66623978861835,0.33376021138165,0.774193548387097,0.612903225806452,0.596774193548387,0.474505723204995,0.462018730489074,0.467013527575442,"Build / monitor",2
"Kazakhstan",2026,0.707744558264822,0.557108482655205,0.937897130415806,-8.47715840540379,-33.6350760668553,20.230628165776,50,50,50,0.459819326372139,0.424778723212899,0.499202752886446,0.247925231892684,0.130274233977914,0.441029108596444,0.661770314172217,0.5288148955084,0.76722388095644,0.00314148966809888,0.00199785656208801,0.0046735950047944,-1.78415023801406e-05,-2.22294055929017e-05,-5.42021591967203e-06,1992,34.4771584054038,"Decelerating",1999,0.386694510932913,0.321050047331909,0.54637581655304,0.45362418344696,0.580645161290323,0.870967741935484,0.758064516129032,0.505723204994797,0.440166493236212,0.466389177939646,"Build / monitor",2
"Colombia",2026,0.804281244852004,0.790279245643879,0.818526190810383,-3.91473322178047,-4.7891137100258,-3.04350679293379,16.3978735647939,16.3978735647939,16.3978735647939,0.692504164902675,0.685191516813931,0.69982278332652,0.111777079949329,0.104847765565619,0.118953279012041,0.86105040292555,0.854603756282823,0.867338486272627,0.00586869731558686,0.0055455629706335,0.00620000550475868,-0.000258370182223567,-0.000268199821374139,-0.000248458981252884,1996,29.9147332217806,"Decelerating",2015,0.614425073645046,0.189856171206958,0.76394305795121,0.23605694204879,0.790322580645161,0.758064516129032,0.467741935483871,0.599115504682622,0.369667013527575,0.461446409989594,"Build / monitor",2
"Guatemala",2026,0.468211614593908,0.447437848758289,0.490167639276155,1.93954171341088,0.19254079719306,3.71741882612994,16.3978735647939,16.3978735647939,16.3978735647939,0.38033687620842,0.369957050158406,0.390726604104666,0.087874738385488,0.0768873759705093,0.100125192832499,0.812501443497721,0.795576008693612,0.828328866444634,0.0043511372019919,0.00388348781727662,0.004855451317996,-0.000165593329098497,-0.000175191248500722,-0.000155432904836088,2002,24.0604582865892,"Decelerating",2015,0.322147069261597,0.146064545332311,0.688037330173887,0.311962669826113,0.725806451612903,0.661290322580645,0.564516129032258,0.47996878251821,0.409729448491155,0.437825182101977,"Build / monitor",2
"Benin",2026,0.213962206898084,0.185533015865938,0.249787461032777,15.1371358869137,11.9127786804438,18.5034834496277,13.006980724418,13.006980724418,13.006980724418,0.1486430770775,0.138358473784497,0.160231613109191,0.065319129820584,0.0470400209593826,0.089711234212122,0.696757764945986,0.640226103961312,0.747070890961338,0.00347630679931969,0.00270094613270561,0.00441299379227875,-0.000103349852286531,-0.000107384263091677,-9.49640218522024e-05,2015,10.8628641130863,"Decelerating",2017,0.116720137394299,0.0972420695037846,0.545517542964474,0.454482457035526,0.629032258064516,0.548387096774194,0.774193548387097,0.344953173777315,0.486992715920916,0.430176899063476,"Build / monitor",2
