"country","region","latest_obs_year","latest_obs_mcpr","projected_latest_mean","projected_latest_p05","projected_latest_p95","projection_gap","abs_projection_gap","status_latest_projection"
"Gambia","West Africa",2019,0.122295761745874,0.112050341968684,0.107484663725237,0.116651008838725,0.0102454197771903,0.0102454197771903,"Overperforming"
"Guinea","West Africa",2018,0.114285827113167,0.107201218507325,0.101909044755536,0.11261774714311,0.00708460860584229,0.00708460860584229,"Overperforming"
"Zambia","East/Southern Africa",2024,0.384288593842627,0.377278789211431,0.371757344196499,0.382951951919387,0.00700980463119605,0.00700980463119605,"Overperforming"
"Malawi","East/Southern Africa",2024,0.5296723957499,0.523587117828409,0.51766587690917,0.529405642031762,0.00608527792149061,0.00608527792149061,"Overperforming"
"Tajikistan","Europe and Central Asia",2023,0.211965619115048,0.206762514458935,0.201375851076441,0.211911506305277,0.0052031046561129,0.0052031046561129,"Overperforming"
"Nigeria","West Africa",2024,0.13104165101535,0.12633290731419,0.123931068470236,0.128708377849204,0.0047087437011599,0.0047087437011599,"Overperforming"
"Indonesia","East Asia and Pacific",2017,0.413596975173288,0.50048724765501,0.49841807581824,0.502595182412762,-0.0868902724817217,0.0868902724817217,"Underperforming"
"Maldives","South Asia",2016,0.106443930762969,0.177643538340514,0.171515802022933,0.183863662399766,-0.0711996075775451,0.0711996075775451,"Underperforming"
"Turkey","Europe and Central Asia",2018,0.330166551386061,0.389038439698297,0.384013661344794,0.394167057124997,-0.0588718883122357,0.0588718883122357,"Underperforming"
"Kyrgyz Republic","Europe and Central Asia",2012,0.226603802561305,0.273890652347382,0.265937637353566,0.282198509170811,-0.0472868497860766,0.0472868497860766,"Underperforming"
"Dominican Republic","Latin America and Carribbean",2013,0.525751817693423,0.557749177299088,0.551463625079971,0.564027582020087,-0.0319973596056645,0.0319973596056645,"Underperforming"
"Gabon","Central Africa",2019,0.171286150617783,0.202683887039488,0.196782680507865,0.208513856017333,-0.0313977364217052,0.0313977364217052,"Underperforming"
"Jordan","Middle East and North Africa",2023,0.354163935467088,0.384192721793564,0.380316854248718,0.387982553723762,-0.030028786326476,0.030028786326476,"Underperforming"
"Senegal","West Africa",2023,0.174527653745172,0.198323772534351,0.194108761905155,0.202623630141393,-0.0237961187891787,0.0237961187891787,"Underperforming"
"Albania","Europe and Central Asia",2017,0.0281316859073467,0.0500583489768862,0.0469238447618205,0.0533380060433262,-0.0219266630695395,0.0219266630695395,"Underperforming"
"Bolivia","Latin America and Carribbean",2008,0.239682537052928,0.257856117349582,0.253041724429249,0.262313523139334,-0.0181735802966538,0.0181735802966538,"Underperforming"
"Tanzania","East/Southern Africa",2022,0.25425034401086,0.271115862451864,0.265971301501759,0.276302918038628,-0.0168655184410039,0.0168655184410039,"Underperforming"
"Nepal","South Asia",2022,0.327459191187039,0.341311512285452,0.336635909921212,0.346050557416883,-0.0138523210984126,0.0138523210984126,"Underperforming"
"South Africa","East/Southern Africa",2016,0.478773473282353,0.491286341820938,0.484343542636184,0.498540758044193,-0.0125128685385849,0.0125128685385849,"Underperforming"
"Philippines","East Asia and Pacific",2022,0.242636996948533,0.253707656725533,0.250060350102371,0.257455260239441,-0.0110706597769998,0.0110706597769998,"Underperforming"
"Ethiopia","East/Southern Africa",2019,0.280777731318228,0.291609409883437,0.284770233654004,0.298221637404118,-0.0108316785652088,0.0108316785652088,"Underperforming"
"Sierra Leone","West Africa",2019,0.239284596691412,0.249716539404127,0.244036454494237,0.255040519147249,-0.0104319427127154,0.0104319427127154,"Underperforming"
"Pakistan","South Asia",2017,0.243493277721387,0.252732808502532,0.247193164701554,0.258229037729113,-0.00923953078114514,0.00923953078114514,"Underperforming"
"Haiti","Latin America and Carribbean",2016,0.222619542901631,0.230968539728826,0.225721599229754,0.236505042372223,-0.00834899682719453,0.00834899682719453,"Underperforming"
"Cameroon","Central Africa",2018,0.163836351658967,0.169967597422609,0.165416557868916,0.174532268077817,-0.00613124576364241,0.00613124576364241,"Underperforming"
"Cambodia","East Asia and Pacific",2021,0.311853461296957,0.31655032749261,0.312375170822408,0.32061521672732,-0.00469686619565274,0.00469686619565274,"Underperforming"
"Lesotho","East/Southern Africa",2023,0.532158420005745,0.542734115228295,0.532104383967811,0.553529642387462,-0.01057569522255,0.01057569522255,"Within 95% projection interval"
"Vietnam","East Asia and Pacific",2002,0.566804037565693,0.574554213792556,0.564567371151569,0.584484508713164,-0.0077501762268628,0.0077501762268628,"Within 95% projection interval"
"Namibia","East/Southern Africa",2013,0.497159535693403,0.503941219459073,0.495854728775572,0.512436912092338,-0.00678168376567023,0.00678168376567023,"Within 95% projection interval"
"Rwanda","East/Southern Africa",2019,0.351298453354893,0.357254752017764,0.350475566051986,0.364277546490736,-0.0059562986628714,0.0059562986628714,"Within 95% projection interval"
"Madagascar","East/Southern Africa",2021,0.340949162587376,0.346854777753112,0.340176647876696,0.353304528398245,-0.00590561516573601,0.00590561516573601,"Within 95% projection interval"
"Ghana","West Africa",2022,0.234376863828137,0.228832380952753,0.222843913662374,0.234869372042542,0.00554448287538378,0.00554448287538378,"Within 95% projection interval"
"Nicaragua","Latin America and Carribbean",2001,0.43943110151825,0.434555101496263,0.428029838321899,0.440917730578661,0.00487600002198701,0.00487600002198701,"Within 95% projection interval"
"Colombia","Latin America and Carribbean",2015,0.614425073645046,0.611309967387558,0.607426118984578,0.615046897670395,0.00311510625748812,0.00311510625748812,"Within 95% projection interval"
"Benin","West Africa",2017,0.116720137394299,0.114087321640866,0.109837094177644,0.118455669662168,0.0026328157534329,0.0026328157534329,"Within 95% projection interval"
