"country","target_rel_sat","target_99pct_K_mean","target_99pct_K_p05","target_99pct_K_p95","year_reach_99pctK_mean","year_reach_99pctK_p05","year_reach_99pctK_p95","years_from_latest_to_99pctK_mean","years_from_latest_to_99pctK_p05","years_from_latest_to_99pctK_p95","region","latest_obs_year","latest_obs_mcpr","status_99pctK"
"Burundi",0.99,0.192983876781299,0.176342375556344,0.212980767889297,2041.2776175915,2039.14447778569,2043.32105740294,25.2776175915025,23.1444777856899,27.3210574029446,"East/Southern Africa",2016,0.14574983802506,"Below 99% of K"
"Ethiopia",0.99,0.435726554990861,0.413923541900365,0.458698626087179,2047.34190612341,2046.65196188656,2048.05092062842,28.341906123409,27.6519618865584,29.0509206284193,"East/Southern Africa",2019,0.280777731318228,"Below 99% of K"
"Rwanda",0.99,0.538164150459036,0.515394029592414,0.562280175068306,2047.51806526584,2046.92357106629,2048.11525843986,28.5180652658435,27.9235710662869,29.1152584398598,"East/Southern Africa",2019,0.351298453354893,"Below 99% of K"
"Nigeria",0.99,0.143111174010745,0.138607082189469,0.147710680290952,2058.55069617869,2056.84790297416,2060.16954550744,34.5506961786868,32.8479029741607,36.1695455074413,"West Africa",2024,0.13104165101535,"Below 99% of K"
"Indonesia",0.99,0.529781688533169,0.527563153755689,0.532010526385874,2053.73535211181,2053.70636075274,2053.79599720828,36.7353521118051,36.7063607527437,36.7959972082814,"East Asia and Pacific",2017,0.413596975173288,"Below 99% of K"
"Ghana",0.99,0.292404851706776,0.278561032190266,0.306835089140003,2065.66911571941,2064.11395445889,2067.18554849194,43.6691157194067,42.1139544588897,45.1855484919444,"West Africa",2022,0.234376863828137,"Below 99% of K"
"Cote d'Ivoire",0.99,0.266367506228918,0.248102834964073,0.286522235081621,2069.71049444826,2067.56756218233,2071.88030607587,48.7104944482624,46.567562182332,50.8803060758684,"West Africa",2021,0.190186155243145,"Below 99% of K"
"Dominican Republic",0.99,0.688719134811792,0.67155608799691,0.706466314331954,2065.42366147762,2064.14709171779,2066.6909679471,52.4236614776228,51.1470917177856,53.690967947102,"Latin America and Carribbean",2013,0.525751817693423,"Below 99% of K"
"Liberia",0.99,0.376018229236761,0.33647907293824,0.422678701208972,2071.43191798549,2068.43702080342,2074.53137343258,52.4319179854886,49.4370208034215,55.5313734325803,"West Africa",2019,0.253048793498329,"Below 99% of K"
"Vietnam",0.99,0.669602618769496,0.647416306760016,0.718837537993792,2056.46574435738,2053.78766245167,2063.6478855792,54.4657443573802,51.7876624516729,61.6478855792025,"East Asia and Pacific",2002,0.566804037565693,"Below 99% of K"
"Guinea",0.99,0.182625380731353,0.154856842147372,0.218523426126243,2073.29345884534,2069.18723771888,2077.50139523229,55.2934588453445,51.1872377188797,59.5013952322854,"West Africa",2018,0.114285827113167,"Below 99% of K"
"Senegal",0.99,0.337634856247406,0.315524137876611,0.361464642410523,2078.458221097,2076.88547377543,2079.98945657258,55.4582210970045,53.8854737754329,56.9894565725776,"West Africa",2023,0.174527653745172,"Below 99% of K"
"Colombia",0.99,0.796238432403484,0.78237645318744,0.810340928902279,2071.4354610958,2070.56108060756,2072.30668752465,56.4354610958014,55.5610806075559,57.3066875246482,"Latin America and Carribbean",2015,0.614425073645046,"Below 99% of K"
"Philippines",0.99,0.300656764908417,0.292072494047182,0.309580046667533,2078.66670653726,2076.60579977433,2080.59522358502,56.6667065372641,54.6057997743317,58.5952235850222,"East Asia and Pacific",2022,0.242636996948533,"Below 99% of K"
"Peru",0.99,0.478195614489937,0.466765539440986,0.489644685617907,2069.28565513707,2068.12898450702,2070.44205727386,57.2856551370709,56.1289845070199,58.4420572738615,"Latin America and Carribbean",2012,0.360555286853936,"Below 99% of K"
"Benin",0.99,0.211822584829103,0.183677685707279,0.247289586422449,2074.905771204,2071.68141399753,2078.27211876672,57.9057712040047,54.6814139975346,61.2721187667189,"West Africa",2017,0.116720137394299,"Below 99% of K"
"Mali",0.99,0.352791206820065,0.320416027009571,0.389801860573632,2082.52597102476,2080.54687418274,2084.54113152891,59.5259710247553,57.5468741827382,61.5411315289075,"West Africa",2023,0.180591149097891,"Below 99% of K"
"Guatemala",0.99,0.463529498447969,0.442963470270706,0.485265962883394,2077.28973603099,2075.54273511478,2079.06761314371,62.2897360309928,60.542735114775,64.0676131437117,"Latin America and Carribbean",2015,0.322147069261597,"Below 99% of K"
"Honduras",0.99,0.6224650617041,0.56274463566951,0.692825565934226,2073.56179169903,2068.55687061898,2078.37306521761,62.5617916990328,57.5568706189845,67.3730652176117,"Latin America and Carribbean",2011,0.429215182049415,"Below 99% of K"
"Togo",0.99,0.39196521081218,0.320502296883055,0.491845079305186,2076.46032903584,2072.46019552218,2080.92833489637,63.4603290358445,59.4601955221782,67.9283348963661,"West Africa",2013,0.167395012737612,"Below 99% of K"
"Haiti",0.99,0.359811390742429,0.332594104315568,0.390706731733461,2082.15861046772,2079.3288944365,2084.96518203157,66.1586104677174,63.3288944365033,68.9651820315735,"Latin America and Carribbean",2016,0.222619542901631,"Below 99% of K"
"Burkina Faso",0.99,0.875685367104376,0.788337449998783,0.950947316891512,2090.96016705087,2089.17700999217,2092.40584849139,69.9601670508736,68.1770099921746,71.4058484913919,"West Africa",2021,0.279405982804968,"Below 99% of K"
"Sierra Leone",0.99,0.811427429425373,0.67653070840624,0.934358284596684,2089.40606036809,2086.2224136065,2091.92636766997,70.4060603680863,67.2224136065045,72.9263676699709,"West Africa",2019,0.239284596691412,"Below 99% of K"
"Brazil",0.99,0.941148771109174,0.882339437872942,0.979334397645825,2070.26268734559,2068.22958840015,2071.58905654668,74.262687345592,72.2295884001524,75.5890565466751,"Latin America and Carribbean",1996,0.51012992044576,"Below 99% of K"
"Gambia",0.99,0.464348106807655,0.400109417893125,0.501417021249568,2093.80910618902,2091.39530753489,2094.72483705319,74.8091061890187,72.3953075348909,75.7248370531922,"West Africa",2019,0.122295761745874,"Below 99% of K"
"Nicaragua",0.99,0.881431412706185,0.746646801089553,0.967417008022098,2076.98234542958,2071.524283246,2079.95732253214,75.9823454295833,70.524283245999,78.9573225321361,"Latin America and Carribbean",2001,0.43943110151825,"Below 99% of K"
"Timor-Leste",0.99,0.234748000478067,0.172329517410262,0.333192405342886,2092.11985862011,2074.33139240003,2106.91430178573,76.1198586201071,58.3313924000256,90.9143017857345,"East Asia and Pacific",2016,0.148053999037072,"Below 99% of K"
"Niger",0.99,0.607682931708186,0.479408951207623,0.675771564534949,2093.34922188586,2089.86551433983,2094.71574025716,81.3492218858588,77.8655143398341,82.7157402571555,"West Africa",2012,0.109933234846429,"Below 99% of K"
"Bolivia",0.99,0.884875342482765,0.773372406567407,0.967958690230751,2098.09765183934,2095.16769254628,2100.05887506836,90.0976518393399,87.1676925462759,92.0588750683571,"Latin America and Carribbean",2008,0.239682537052928,"Below 99% of K"
"Cambodia",0.99,0.928479917695387,0.875362516305996,0.963902965370167,2121.56126619119,2120.01344940422,2122.52017200701,100.561266191193,99.0134494042235,101.520172007014,"East Asia and Pacific",2021,0.311853461296957,"Below 99% of K"
"Turkey",0.99,0.5234493757231,0.515899296128099,0.532290397327618,2196.54029165336,2195.79012103935,2198.50868188155,178.540291653359,177.790121039351,180.508681881549,"Europe and Central Asia",2018,0.330166551386061,"Below 99% of K"
"Albania",0.99,0.0687389242723835,0.0638409079544146,0.0749087866310379,2199.13025472637,2195.84971294867,2209.5684510063,182.130254726367,178.849712948667,192.568451006298,"Europe and Central Asia",2017,0.0281316859073467,"Below 99% of K"
"Kyrgyz Republic",0.99,0.381852553485715,0.369909696632915,0.395240859653586,2196.94791731158,2195.79822396305,2200.17827285501,184.947917311579,183.798223963048,188.178272855005,"Europe and Central Asia",2012,0.226603802561305,"Below 99% of K"
"Kazakhstan",0.99,0.700667112682174,0.551537397828653,0.928518159111648,2221.27883410133,2196.12091643987,2249.98662067251,222.278834101326,197.120916439874,250.986620672505,"Europe and Central Asia",1999,0.386694510932913,"Below 99% of K"
"Tajikistan",0.99,0.413288130116756,0.312041763264489,0.466350212726933,2252.60997485766,2223.43315031566,2264.04622261446,229.609974857657,200.433150315663,241.046222614461,"Europe and Central Asia",2023,0.211965619115048,"Below 99% of K"
"Armenia",0.99,0.373478820595259,0.294547210567133,0.416209580124075,2255.50552657039,2234.02235890882,2264.19543635644,239.505526570394,218.022358908817,248.195436356437,"Europe and Central Asia",2016,0.181349671590196,"Below 99% of K"
